id,part,action,cylinders,details,engine
100535,,REMOVED,,ENGINE FROM AIRFRAME. DISASSEMBLED ENGINE IAW R,
100536,TURBINE ASSY.,REMOVED,,,
100537,,CONNECTED,,IAW ROLLS ROYCE MAINT MANUAL,
100538,INTAKE GASKET,REPLACED,,,
100539,ROCKER COVER GASKET,REPLACED,,,
100540,,INSTALLED,,NEW GASKET,
100541,SCREWS,TIGHTENED,,,
100542,INTAKE GASKET,REPLACED,,,
100543,,CLEANED,[2],GAPPED & TESTED #2 CYL SPARK PLUGS - OPS CK GO,
100544,,PERFORMED,[2],COMPRESSION CK ON #2 CYL - 78/80 & REMOVED RO,
100545,,INSPECTED,[2],FOUND #2 EXHAUST VALVE TIGHT. PERFORMED CLE,
100546,,RAN,,OPS OK. NO ROUGHNESS. EGT - CHT - STATIC RPM - IDL,
100547,GASKET,REPLACED,,,
100548,PLUG,REPLACED,,,
100549,INTAKE GASKET,REPLACED,,,
100550,GASKETS,REPLACED,"[1, 2]",,
100551,GASKETS,REPLACED,"[1, 3]",,
100552,INTAKE GASKET,REPLACED,,,
100553,ROCKER BOX COVER SCREWS,RETORQUED,,,
100554,,RUN,,UP & LEAK CK GOOD,
100555,,FOUND,,LEAK FROM EX VALVE & EX VALVE CONTACT ON PISTON,
100556,,COMPLETED,,INSTALL OF CYLINDER. DRY TAPPET CLEARANCE CK',
100557,BAFFLE SUPPORT ROD,REPLACED,,,
100558,INTAKE GASKETS,REPLACED,,,
100559,INTAKE TUBE GASKETS,REPLACED,,,
100560,ROCKER COVER GASKETS,REPLACED,,,
100561,ROCKER COVER GASKETS,REMOVED,"[2, 4]",REPLACED,
100562,INTAKE GASKET,REMOVED,,REPLACED. CLEANED LEAKS AROUND,
100563,ROCKER COVER GASKET,REMOVED,,REPLACED. CLEANED LEAKS A,
100564,INTAKE GASKET,REMOVED,[3],REPLACED,
100565,INTAKE GASKET,REMOVED,,REPLACED,
100566,OIL DRAIN LINE,REMOVED,,REPLACED,
100567,FILLER TUBE,TIGHTENED,,RESAFETIED,
100568,ENGINE BAFFLE PLUGS,INSTALLED,,NEW,
100569,INTAKE GASKET,REMOVED,[4],REPLACED,
100570,,REMOVED,"[2, 4]",REPLACED GASKETS,
100571,,REPLACED,,GASKET,
100572,,REMOVED,,REPLACED GASKET,
100573,,TIGHTENED,,ALL COVER SCREWS,
100574,INTAKE GASKETS,REMOVED,,REPLACED,
100575,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100576,,STOP DRILLED,,CRACK,
100577,ROCKER COVER GASKETS,REMOVED,,REPLACED. CLEANED LEAKS,
100578,DRAIN CLAMP,SECURED,,TIGHTENING. CLEANED LEAKS IN AREA,
100579,,TIGHTENED,,SCREWS & RESAFETIED,
100580,INTAKE GASKETS,REMOVED,,REPLACED,
100581,INTAKE GASKET,REMOVED,[3],REPLACED,
100582,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
100583,INTAKE GASKET,REMOVED,,REPLACED W/ NEW,
100584,ROCKER COVER,REMOVED,,REPLACED W/ NEW,
100585,,STOP,,DRILLED CRACK,
100586,,TIGHTENED,,ALL SCREWS,
100587,INTAKE GASKET,REMOVED,,REPLACED,
100588,,REMOVED,,REPLACED GASKETS,
100589,,REMOVED,,REPLACED GASKETS,
100590,INTAKE GASKET,REMOVED,[2],REPLACED,
100591,INDUCTION TUBE GASKET,REMOVED,[4],REPLACED,
100592,,TIGHTENED,,ALL SCREWS,
100593,INTAKE GASKET,REMOVED,[2],"REPLACED, CK'ED PROP ACCUMUL",
100594,,STARTED,,"WARMED ENGINE, OPS CK'ED IDLE RPM, MAG CK",R
100595,,TIGHTENED,,HOSE CLAMPS,
100596,INTAKE GASKET,REMOVED,[2],REPLACED,
100597,,RAN,,"A/C, DETERMINED TO BE CAUSED BY COLD OIL. C/W LYCOM",
100598,INTAKE GASKET,REMOVED,,"REPLACED, CLEANED AREA OF LEAKS",
100599,ROCKER COVER GASKET,REMOVED,[3],REPLACED,
100600,,REPLACED,,GASKET,
100601,GASKET,REPLACED,,,
100602,GASKET,REPLACED,,,
100603,,REMOVED,,REPLACED LINKAGE,
100604,INTAKE GASKET,REMOVED,[1],REPLACED,
100605,GASKET,REMOVED,,REPLACED. LEAK CHECK GOOD,
100606,GASKETS,REPLACED,,LEAK CHECK GOOD,
100607,GASKETS,REMOVED,,REPLACED. LEAK CHECK GOOD,
100608,,STOP,,DRILLED CRACK,
100609,GASKET,REPLACED,,,
100610,INTAKE GASKETS,REMOVED,"[2, 3]",REPLACED,
100611,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100612,,TIGHTENED,,SCREWS,
100613,INTAKE GASKET,REPLACED,[2],,
100614,,STOP,,DRILLED CRACK,
100615,ROCKER COVER GASKETS,REMOVED,"[2, 3]",REPLACED,
100616,GASKETS,REMOVED,,REPLACED,
100617,,CHECKED,,"VALVE GUIDE CLEARANCE, CHECK OK. CLEANED SPARK",
100618,,ADJUSTED,,"IDLE RPM PER SPECS, OPS CHECK GOOD",
100619,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100620,,TIGHTENED,,HOSE CLAMPS,
100621,BAFFLE MOUNTING BRACKET,REMOVED,,BROKEN,
100622,INTAKE GASKET,REMOVED,[3],REPLACED,
100623,,TIGHTENED,,,
100624,GASKET,REMOVED,,REPLACED,
100625,GASKET,REMOVED,,REPLACED W/ NEW,
100626,GASKET,REMOVED,,REPLACED,
100627,GASKET,REPLACED,,,
100628,BUTTON PLUGS,REPLACED,,,
100629,GASKET,REMOVED,,REPLACED,
100630,GASKET,REMOVED,,REPLACED. CLEANED LEAKS IN AREA,
100631,INTAKE GASKET,REMOVED,[2],REPLACED,L
100632,,FABRICATED,,,
100633,GASKET,REPLACED,,,
100634,ROCKER COVER GASKETS,REMOVED,"[3, 4]",REPLACED,
100635,,INSTALLED,,NEW SCREW,
100636,INTAKE GASKET,REMOVED,,REPLACED W/ NEW,
100637,,REPOSITIONED,,ALTERNATOR COOLING HOSE,
100638,,FABRICATED,,PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVE,
100639,BAFFLE,REMOVED,,"REPLACED RIVETS, REINSTALLED",
100640,,PREVIOUSLY REPAIRED,,BY STOP DRILLING CRACK,
100641,INTAKE GASKETS,REPLACED,"[2, 4]",,
100642,INTAKE GASKETS,REPLACED,"[2, 3, 4]",,
100643,ROCKER COVER GASKETS,REPLACED,"[1, 2, 3, 4]",,
100644,,INSTALLED,,,
100645,,INSTALLED,,,
100646,BAFFLE,FABRICATED,,,R
100647,INTAKE GASKET,REPLACED,[2],,
100648,,REPLACED,,,
100649,,REPLACED,"[2, 4]",,
100650,PUSH ROD SEALS,REPLACED,[3],,
100651,,REPLACED,,,
100652,INTAKE GASKETS,REPLACED,,,
100653,ROCKER COVER GASKETS,REPLACED,,,
100654,ROCKER COVER GASKET,REPLACED,,NEW,
100655,INTAKE GASKET,REPLACED,[2],,
100656,ROCKER COVER GASKETS,REPLACED,,,
100657,,STOP DRILLED,,,
100658,,TIGHTENED,,,
100659,,REPLACED,,,
100660,ROCKER COVER,REPLACED,,,
100661,,FABRICATED,,NEW SECTION FROM LIKE MATERIAL AS ORIGINAL,
100662,INTAKE GASKET,REMOVED,[2],REPLACED,
100663,,INSTALLED,,NEW SCREW,
100664,INTAKE GASKET,REMOVED,[2],REPLACED,
100665,ROCKER COVER GASKETS,REMOVED,"[1, 3]",REPLACED,
100666,INDUCTION TUBE GASKET,REMOVED,"[2, 3]",REPLACED,R
100667,ROCKER COVER GASKETS,REMOVED,"[3, 4]",REPLACED,
100668,ROCKER COVER GASKET,REMOVED,,REPLACED,
100669,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100670,,REMOVED,,DIPSTICK FOR PILOT,
100671,,INSTALLED,,NEW GROMMET,
100672,ROCKER COVER GASKETS,REMOVED,"[3, 4]",REPLACED,
100673,GASKETS,REMOVED,,REPLACED,
100674,INTAKE GASKETS,REMOVED,"[1, 3]",REPLACED W/ NEW,
100675,INTAKE GASKETS,REMOVED,,REPLACED,
100676,INTAKE GASKETS,REMOVED,,REPLACED,
100677,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100678,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100679,GASKETS,REMOVED,,REPLACED,
100680,GASKET,REMOVED,,REPLACED,
100681,ROCKER COVER GASKET,REMOVED,,REPLACED,
100682,,TIGHTENED,,,
100683,#2 COVER GASKET,REMOVED,[2],REPLACED,
100684,,REMOVED,[1],REPLACED,
100685,,INSTALLED,,NEW,
100686,INTAKE GASKET,REMOVED,[2],REPLACED W/ NEW,
100687,INTAKE GASKETS,REMOVED,,REPLACED W/ NEW,
100688,ROCKER COVER GASKET,REMOVED,,REPLACED,
100689,GASKET,REPLACED,,,
100690,INTAKE TUBE GASKET,REPLACED,[4],,R
100691,INTAKE GASKET,REMOVED,,REPLACED,
100692,INTAKE GASKET,REMOVED,,REPLACED,
100693,GASKET,REPLACED,,,
100694,PUSH,REMOVED,,INSPECTED & DETERMINED TO BE SERVICEABLE,
100695,PLUNGER ASSY,REMOVED,,FROM CORE ENGINE,
100696,,PERFORMED,,COMPRESSION CHECK & FOUND #3 EXHAUST VALVE ST,
100697,,REMOVED,[3],REPLACED IAW LYCOMING O/H MANUAL,
100698,,INSTALLED,[3],NEW #3 INDUCTION TUBE GASKET,
100699,BAFFLE SEAL,SECURED,,,
100700,STRIKER PLATE,ADJUSTED,,OPS CHECK GOOD,
100701,INTAKE GASKET,REMOVED,,,
100702,INTAKE GASKETS,REPLACED,,,
100703,BAFFLE SEALS,RESECURED,,,
100704,INTAKE GASKETS,REMOVED,,,
100705,GASKET,REMOVED,,,
100706,GASKET,REMOVED,,,
100707,INTAKE GASKET,REMOVED,[2],,L
100708,SEAL,SECURED,,,
100709,BAFFLE,INSTALLED,,NEW HARDWARE,R
100710,BAFFLE,INSTALLED,,NEW HARDWARE,
100711,BAFFLE PLUGS,INSTALLED,,NEW,
100712,#2 ROCKER BOX COVER GASKET,INSTALLED,,NEW,
100713,INTAKE GASKETS,REPLACED,,,
100714,INTAKE GASKET,REPLACED,[2],,R
100715,INTAKE TUBE GASKET,REPLACED,[2],,L
100716,BRACKET,REMOVED,,,
100717,ROCKER COVER GASKETS,REMOVED,,,
100718,,STARTED,,"USING NORMAL PROCEDURES, OPS CHECK GOOD",
100719,INTAKE GASKET,REMOVED,,,
100720,BAFFLE SPRING,REPLACED,,,
100721,BAFFLE,REMOVED,,,
100722,INTAKE GASKET,REPLACED,[2],,
100723,BACK BAFFLE,REMOVED,,,R
100724,,INSTALLED,,,
100725,,INSTALLED,,,
100726,BAFFLE,REMOVED,,,
100727,,REPLACED,,NEW,
100728,,CLAMPED,,,
100729,BAFFLE,REMOVED,,,
100730,INTAKE GASKET,REPLACED,[4],,R
100731,INTAKE GASKET,REPLACED,[3],,R
100732,INTAKE TUBE GASKET,REPLACED,[3],,L
100733,BAFFLE SCREWS,REPLACED,,,R
100734,INTAKE GASKET,REPLACED,[1],,
100735,BAFFLE PLUG,REPLACED,,,
100736,INTAKE GASKET,REPLACED,,,
100737,,REPLACED,,,
100738,,ATTEMPTED TO START,,,
100739,,ATTEMPTED TO START,,,
100740,,ATTEMPTED TO START,,,
100741,,,,,
100742,INTAKE GASKETS,REPLACED,"[3, 4]",,R
100743,INTAKE GASKETS,REPLACED,"[3, 4]",,L
100744,BAFFLE,INSTALLED,,NEW HARDWARE,R
100745,,STOP DRILLED,,CRACK,
100746,,FABRICATED,,"PATCH, INSTALLED & RIVETED IAW SRM 51",
100747,INTAKE GASKET,REPLACED,[4],,
100748,INTAKE GASKET,REMOVED & REPLACED,,W/ NEW,
100749,,STOP DRILLED,,CRACK,
100750,SEAL,REMOVED & REPLACED,,,
100751,SEAL,REMOVED & REPLACED,,,
100752,INTAKE GASKET,REPLACED,,,
100753,ROCKER GASKETS,REPLACED,,ALL,L
100754,INTAKE TUBE,REPLACED,[1],PUSH ROD SEALS,
100755,ROCKER BOX COVER SCREWS,TIGHTENED,,,
100756,INDUCTION TUBE GASKETS,INSTALLED,,NEW,
100757,INTAKE GASKETS,REMOVED & REPLACED,,,
100758,GASKET,REPLACED,,,
100759,BUTTON PLUGS,REPLACED,,,
100760,INTAKE GASKET,REMOVED & REPLACED,,W/ NEW,
100761,INTAKE GASKET,REMOVED,,NEW,
100762,,INSPECTED,,NO DEFECTS NOTED,L
100762,,INSPECTED,,NO DEFECTS NOTED,R
100763,INTAKE GASKETS,REMOVED,,,
100764,,REMOVED,,,
100765,INTAKE GASKET,REPLACED,[2],,
100766,ROCKER COVER GASKETS,REPLACED,,,
100767,OIL COOLER,REMOVED,,,
100768,CLAMP,REMOVED,,,
100769,ROCKER COVER SCREWS,TIGHTENED,,,
100770,INTAKE GASKET,REMOVED,,,
100771,,DRILLED,,,
100772,GASKET,REMOVED,,,
100773,INTAKE GASKET,REPLACED,[2],,
100774,GASKET,REPLACED,,,
100775,GASKET,REPLACED,,,
100776,BAFFLE SPRING,REMOVED,,,
100777,,REMOVED,,,
100778,,LEAK CHECK GOOD,,,
100779,,REMOVED,,,
100780,,TIGHTENED,,,
100781,GASKET,REMOVED,,,
100782,INTAKE GASKET,REMOVED,,,
100783,INTAKE GASKET,REMOVED,,,
100784,,STOP,,,
100785,ENG BAFFLE,REMOVED,,,R
100786,,REMOVED,,,
100787,,TIGHTENED,,,
100788,PLUGS,REPLACED,,,
100789,INTAKE GASKET,REMOVED,,,
100790,GASKET,REMOVED,,,
100791,INTAKE GASKET,REMOVED,,W/ NEW,
100792,,LEAK CHECK,,GOOD,
100793,,REMOVED,,,
100794,,ROTATED,,,
100795,GASKET,REMOVED,,,
100796,GASKET,REMOVED,,W/ NEW,
100797,,TIGHTENED,,ALL SCREWS,
100798,GASKET,REMOVED,,W/ NEW,
100799,GASKET,REMOVED,,W/ NEW,
100800,,INSTALLED,,NEW INDICATION TUBE GASKETS,
100801,ROCKER COVER GASKETS,REPLACED,"[2, 3]",,
100802,,FABRICATED,,,
100803,,REMOVED,,REPLACED,
100804,,REMOVED,,REPLACED,
100805,INTAKE GASKET,REPLACED,[3],,
100806,,INSTALLED,,,
100807,,LOOSENED,,,
100808,INTAKE GASKET,REPLACED,[2],,
100809,ROCKER GASKET,REPLACED,[3],,
100810,,REMOVED,,REPLACED,
100811,,DRILLED,,,
100812,,COMPLETED,,,
100814,INTAKE GASKET,REPLACED,[2],,
100815,BAFFLE,INSTALLED,,,
100816,,REMOVED,,REPLACED,
100817,,REMOVED,,REPLACED,
100818,,STOP DRILLED,,,
100819,INDUCTION TUBE GASKET,INSTALLED,[2],,
100820,,REMOVED,,REPLACED,
100821,INTAKE GASKET,REMOVED,,,
100822,ROCKER COVER GASKETS,REMOVED,,,
100823,,STOP,,,
100824,INTAKE TUBE GASKET,REMOVED,[4],,
100825,,REMOVED,,,
100826,ROCKER COVER GASKET,REPLACED,,,
100827,BAFFLE,REMOVED,,,
100828,INTAKE GASKET,REMOVED,,,
100829,INTAKE GASKET,REMOVED,[3],,L
100830,ROCKER COVER GASKETS,REMOVED,,,
100831,ROCKER SHAFT PLUGS,REMOVED,,,
100832,INTAKE GASKET,REPLACED,,,
100833,ROCKER COVER GASKET,REPLACED,,,
100834,GASKET,REMOVED,,,
100835,ENGINE,WASHED,,,
100836,INTAKE GASKET,REMOVED,,,
100837,BAFFLE SCREW,INSTALLED,,,
100838,,REMOVED,,,
100839,,LEAK,,,
100840,,ROTATED,,,
100841,,STOP,,"DRILLED CRACKS, FABRICATED PATCH OUT OF LIKE MATER",
100842,,STOP,,DRILLED CRACK,
100843,,REMOVED,,& REPLACED ROCKER COVER,
100844,,TIGHTENED,,SCREWS,
100845,INTAKE GASKET,REMOVED,[3],& REPLACED R/H #3,R
100846,ROCKER COVER GASKETS,REMOVED,"[2, 3]",& REPLACED,
100847,INTAKE GASKET,REMOVED,,& REPLACED W/ NEW,
100848,OIL HOSE,REPOSITIONED,,& TIGHTENED,
100849,,REPLACED,,SCREWS,
100850,ROCKER COVER GASKETS,REMOVED,,& REPLACED,
100851,BAFFLE TIE ROD,REMOVED,,& REPLACED,L
100852,,SECURED,,"HARDWARE, BAFFLE CHECKS GOOD FOR SECURITY",
100853,,TRIED,,MAKING SEVERAL IDLE MIXTURE ADJUSTMENTS. REPLACED,
100854,FUEL PUMP,REPLACED,,PROBLEM PERSISTED,
100855,,RETIMED,,BOTH MAGS. BEGAN REPLACEMENT OF FUEL INJECTOR S,
100856,,STARTED,,"ENGINE IN HANGAR, OPS CHECK GOOD AT & BELOW 100",
100857,,INSPECTED,,& DETERMINED SCRATCH WAS NEGLIGIBLE. BLENDED,
100858,,INSTALLED,,NEW GASKETS,
100859,ROCKER COVER GASKETS,REMOVED,"[2, 3]",& REPLACED,
100860,,INSTALLED,,NEW SCREW,
100861,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100862,INTAKE GASKET,REMOVED,,REPLACED,
100863,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100864,INTAKE GASKET,REMOVED,,REPLACED,
100865,BAFFLE,REMOVED,,INSTALLED NEW BRACKET HARDWARE. REINSTA,
100866,,REPLACED,,GASKET,
100867,,REPLACED,,GASKET,
100868,INTAKE GASKETS,REMOVED,,REPLACED,
100869,INDUCTION TUBE GASKET,INSTALLED,,NEW,
100870,ROCKER COVER GASKETS,REMOVED,,REPLACED W/ NEW,
100871,BAFFLE SPRING,REMOVED,,REPLACED W/ NEW,
100872,,INSPECTED,,FOUND CRACK TO HAVE BEEN PREVIOUSLY REPAIRE,
100873,,STARTED,,DISASSEMBLY FOR VALVE REAMING,
100874,,FINISHED,,DISASSEMBLY & BEGAN REAMING EXHAUST VALVES,
100875,,FINISHED,,REAMING ALL 4 EXHAUST VALVE GUIDES. BEGAN REAS,
100876,,COMPLETED,,"ASSY OF BAFFLES, CLAMPS, FUEL SUPPLY HOSE, OI",
100877,,REPLACED,,GASKET,
100878,,REMOVED,,REPLACED GASKETS,
100879,,REMOVED,,REPLACED GASKET,
100880,BAFFLE SPRING,REMOVED,,REPLACED W/ NEW,
100881,BRACKET,INSTALLED,,NEW,
100882,INTAKE GASKET,REPLACED,,,
100883,INTAKE GASKET,REPLACED,,,
100884,INTAKE GASKET,REPLACED,,,
100885,PRIMER LINE SLEEVE,REPLACED,,TORN,
100886,GASKET,REMOVED & REPLACED,,,
100887,INTAKE GASKET,REMOVED & REPLACED,[2],,L
100888,BAFFLE SEAL,RESECURED,,,
100889,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,L
100890,SCREW,INSTALLED,,,
100891,INJECTOR NOZZLE,REMOVED,[2],OBSTRUCTION,
100892,,RAN UP,,,
100893,INTAKE GASKETS,REMOVED & REPLACED,,,
100894,ROCKER GASKETS,REMOVED & REPLACED,,,
100895,SEAL,SECURED,,,
100896,ROCKER COVER GASKET,REMOVED & REPLACED,"[3, 4]",,L
100897,ROCKER COVER GASKET,REMOVED & REPLACED,"[3, 4]",,R
100898,GASKETS,REMOVED & REPLACED,,,
100899,GASKET,REMOVED & REPLACED,,,
100900,ROCKER COVER GASKETS,REMOVED & REPLACED,"[1, 2]",,
100901,GASKET,REPLACED,,,
100902,BAFFLE SEAL,REPLACED,,FOUND UNSERVICEABLE,
100903,,STOP DRILLED,,,
100904,INTAKE GASKET,REMOVED & REPLACED,,,
100905,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,
100906,INTAKE GASKET,REMOVED & REPLACED,[4],,
100907,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
100908,,FOR TEST FLIGHT,,,
100909,FUEL INJ NOZZLES,"REMOVED, CLEANED & INSTALLED","[1, 3]",,
100910,,REMOVED,,"SPARK PLUGS, LEADS, SIDE BAFFLES, LOWER COUPLIN",
100911,FUEL INJ NOZZLES,"REMOVED, CLEANED, REINSTALLED","[2, 4]",,
100912,GASKET,REMOVED & REPLACED,,W/ NEW,
100913,,RAN UP A/C,,"2ND TIME, COMPRESSIONS ABOUT 20 PSI",
100914,,STAKED,,VALVES. COMPRESSION ROSE TO 76/80 AFTER STAKING,
100915,,ATTEMPTED TO STAKE,,VALVE BUT COMPRESSION REMAINS AT 40/,
100916,,RAN A/C,,COMPRESSIONS REMAINS LOW. DISASSEMBLED AS REQU,
100917,,COMPLETED,,CYLINDER INSTALLATION IAW LYCOMING OVERHAUL M,
100918,,REMOVED,,"BAFFLE, REINSTALLED BRACKET. REINSTALLED BAFFLE",
100919,ROCKER COVER GASKET,REMOVED & REPLACED,,CLEANED LEAKS,
100920,BAFFLE,REMOVED,,TRIMMED AS NECESSARY & REINSTALL,
100921,,,,,
100922,ROCKER COVER GASKETS,REPLACED,[2],,
100923,GASKET,REPLACED,,,
100924,GASKET,REPLACED,,,
100925,INTAKE GASKET,REPLACED,[4],,R
100926,LACING CORD,REMOVED,,,
100927,INTAKE GASKET,REPLACED,,,
100928,GASKET,REPLACED,,NEW,
100929,RING GEAR TEETH,DRESSED,,,
100930,ROCKER COVER GASKETS,REPLACED,"[1, 4]",,
100931,GASKET,REPLACED,,,
100932,ROCKER COVER GASKET,REPLACED,,,
100933,INTAKE GASKET,REPLACED,[3],,
100934,ROCKER COVER GASKET,REPLACED,[4],,
100935,DIPSTICK TUBE,REMOVED,,,
100936,GASKET,REPLACED,,,
100937,GASKET,REPLACED,,,
100938,ROCKER COVER GASKET,REPLACED,[3],,
100939,BAFFLE SEAL,REPLACED,,,
100940,,,,OPS CHECKED GOOD,
100941,PISTON,REMOVED,[4],REPLACED IAW LYCOMING DI,
100942,,RAN,,"UP A/C, OPS & LEAK CHECK GOOD",
100943,SCREW,REPLACED,,,
100944,,REMOVED,,REPLACED INTAKE GASKETS,
100945,,REMOVED,,REPLACED BAFFLE SEAL,
100946,,REMOVED,,REPLACED GASKET,
100947,OIL COOLER STAND OFFS,ADJUSTED,,,
100948,,REPLACED,,LOOSE RIVETS,
100949,,STOP DRILLED,,"CRACK, CRACK WAS PREVIOUSLY PATCHED",
100950,,REMOVED,,REPLACED ROCKER COVER GASKETS,
100951,,REMOVED,,REPLACED ROCKER COVER GASKET,
100952,,RAN,,"UP A/C, COULD NOT DUPLICATE DISCREPANCY. NO DEFECTS",
100953,,REMOVED,,REPLACED GASKET,
100954,,REINSTALLED,"[3, 4]",BAFFLE SEALS PROPERLY,R
100955,,REINSTALLED,[4],BAFFLE SEALS,L
100956,,REMOVED,[2],REPLACED ROCKER COVER GASKET,
100957,,RESECURED,,LOOSE BAFFLE SCREW. REMOVED & REPLACED SCREW,
100958,,TIGHTENED,,ALL ROCKER COVER SCREWS,
100959,,REMOVED,,REPLACED GASKET,
100960,,INSTALLED,,NEW SCREW,
100961,GASKET,REPLACED,,,
100962,GASKET,REPLACED,,,
100963,GASKETS,REPLACED,"[2, 3]",,
100964,GASKETS,REPLACED,"[3, 4]",ON INTAKES,
100965,BAFFLE SEAL,TIGHTENED,,W/ POP RIVETS,
100966,BAFFLE SEAL,RESECURED,,,
100967,GASKET,REMOVED & REPLACED,,,
100968,INTAKE GASKET,REMOVED & REPLACED,,,
100969,,INSTALLED,,NEW BOLTS & WASHERS,
100970,SCREW,REMOVED & REPLACED,,,
100971,ROCKER COVER GASKET,REMOVED & REPLACED,[1],,
100972,GASKET,REMOVED & REPLACED,,,
100973,GASKET,REMOVED & REPLACED,,,
100974,TIE ROD,REMOVED & REPLACED,,,
100975,PLUG,REPLACED,,MISSING,
100976,,ADJUSTED,,"MIXTURE, OPS CHECK GOOD",
100977,INTAKE GASKET,REPLACED,[1],,
100978,INTAKE GASKETS,REMOVED & REPLACED,,,
100979,BAFFLE SUPPORT ROD,TIGHTENED,,,
100980,INTAKE GASKETS,REMOVED & REPLACED,,,
100981,ROCKER COVER GASKETS,REPLACED,,,
100982,ROCKER COVER GASKET,REMOVED,,REPLACED,
100983,INTAKE GASKET,REMOVED,,REPLACED W/ NEW,
100984,INTAKE GASKETS,REMOVED,,REPLACED,
100985,,REMOVED,,REPLACED W/ NEW,
100986,ROCKER COVER GASKETS,REMOVED,,REPLACED W/ NEW,
100987,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
100988,ROCKER COVER GASKET,REMOVED,,REPLACED,
100989,STARTER,REMOVED,,REPLACED,
100990,,REMOVED,,REPLACED W/ NEW,
100991,INDUCTION TUBE GASKET,INSTALLED,[2],NEW,
100992,,,,"INSP, NO DEFECTS FOUND. ENGINE IS NOT RUBBING ON DIAGON",
100993,GASKET,REPLACED,,,
100994,,REPLACED,,SEALS & LOCK WASHER,
100995,,,,"RAN A/C, FOUND A/C RAN NORMALLY. STATIC 2340 AT 12.1 GP",
100996,,REMOVED,,REPLACED GASKET,
100997,GASKET,REPLACED,,,
100998,,,,"RAN A/C, ATTEMPTED TO ADJUST IDLE MIXTURE TO CORRECT 30",
100999,INTAKE GASKET,REMOVED,[3],REPLACED,
101000,INTAKE GASKETS,REMOVED,,REPLACED,
101001,GASKETS,REMOVED,,,
101002,BRACKET,REMOVED,,,
101003,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
101004,ROCKER COVER GASKETS,REMOVED,"[1, 2, 3, 4]",,
101005,INTAKE GASKET,REMOVED,[3],,L
101006,INTAKE GASKET,REMOVED,[3],,R
101007,,ADJUSTED,,"IDLE SETTING TO 690 RPM, MIXTURE IDLE CHECK GOOD",
101008,GASKET,REMOVED,,,
101009,BAFFLE PLUG,INSTALLED,,NEW,
101010,INTAKE GASKET,REPALCED,,,
101011,SCREW,INSTALLED,,NEW,
101012,,STOP DRILLED,,CRACK,
101013,ROCKER GASKET,REMOVED,,,
101014,ROCKER COVER GASKET,REMOVED,,,
101015,PLUG,INSTALLED,,NEW,
101016,,PERFORMED,,ENGINE RUN. COULD NOT DUPLICATE. NO DEFECTS,
101017,BAFFLE,REPLACED,,,
101018,SCREW & BARREL NUT,REPLACED,,,
101019,GASKET,REPLACED,,,
101020,GASKET,REMOVED,,,
101021,INTAKE GASKETS,REMOVED,,NEW,
101022,GASKET,REMOVED,,,
101023,,REMOVED,,COVER,
101024,,OPS,,LEAK CK GOOD,
101025,,REMOVED,,"COVER FROM CORE ENGINE, INSP & FOUND TO BE SERV",
101026,,FOUND,,PART OF VALVE TUBE KEEPER BROKEN OFF & PART MISSI,
101027,,RETRIEVED,,"MISSING PIECE OF TUBE KEEPER, INSPECTED ROCKE",
101028,,REMOVED,,BAFFLE PLUGS,
101029,INTAKE GASKET,REMOVED,[4],REPLACED,
101030,BAFFLE SPRING,REMOVED,,NEW,
101032,INTAKE TUBE GASKET,INSTALLED,,NEW,
101033,ROCKER COVER GASKETS,REMOVED,"[2, 3, 4]",,L
101034,,STOP,,DRILLED CRACK,
101035,BAFFLE SEAL,RESECURED,,,
101036,,FABRICATED,,PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVE,
101037,,PULLED,,TOP & BOTTOM PLUGS NOTING NO SIGNIFICANT OIL OR,
101038,,SERVICED,,8 QTS MINERAL OIL. PERFORMED GROUN,L
101039,ROCKER BOX,INSPECTED,,NOTING NO DISCREPANCIES. CLEANED &,
101040,,RAN,,LEFT ENGINE NOTING NO #4 EGT & SIGNIFICANT VIBRATIO,L
101041,,REMOVED,[4],SERVICEABLE,
101042,,ADJUSTED,,CHECKS GOOD,R
101043,,REMOVED,,REPLACED,
101044,,REMOVED,,REPLACED,
101045,,REPLACED,[2],,
101046,,REMOVED,[3],INSTALLED REPAIRED,R
101047,,REMOVED,[2],REPLACED,
101048,,INSTALLED,,NEW,
101049,,REMOVED,,REPLACED,
101050,,REPAIRED,,,
101051,,INSTALLED,,NEW,
101052,,REMOVED,,REPLACED,
101053,,LEAK CK,,GOOD,
101054,,REMOVED,,REPLACED,
101055,,SECURED,,SAFETIED,
