IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100126,R/H FRONT BAFFLE SEAL LOOSE.,Ok,R/H FRONT,BAFFLE SEAL,LOOSE,RESECURED R/H FRONT BAFFLE SEAL.,,,,BAFFLE SEAL,RESECURED,
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,Ok,TOP BACK L/H CORNER,BAFFLE,CRACKED,"STOP DRILLED CRACK, FABRICATED PATCH WITH LIKE MATERIAL.",,WITH LIKE MATERIAL,,"DRILLED CRACK, PATCH","STOP , FABRICATED",
100128,#2 CYLINDER INTAKE GASKET IS LEAKING.,Ok,#2 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,Ok,2 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,Ok,ENGINE,,RUN ROUGH,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,,,,ENGINE,RAN,NOTED THAT ENGINE WAS NOT RUNNING
100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,Ok,ENGINE,,RUN ROUGH,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL",,,,EXHAUST VALVE,FREED & INSPECTED & FOUND,FOUND TO BE SERVICEABL
100132,#1 & 3 INTAKES LEAKING.,Ok,#1 & 3,INTAKE,LEAKING,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100133,#2 & 4 ROCKER COVER LEAKING.,Ok,#2 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,Ok,R/H AFT,BAFFLE MOUNT RIVET,SHEARED,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,,,,BAFFLE,DISCONNECTED LINES & WIRES TO REMOVE,
100135,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,Ok,ENGINE,CYLINDER HEAD TEMPERATURE NEEDLE,"BOUNCES , RUN ROUGH","REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N",,,,"CHT PROBE, ENGINE","REMOVED & REPLACED , INSPECTED",
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,Ok,ENGINE,,WEAR,OPS & LEAK CHECK GOOD.,,,,OPS & LEAK,CHECKED,
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,Ok,ENGINE,,WEAR,FINISHED INSTALLATION OF ENGINE.,,,,ENGINE,INSTALLED,
100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,Ok,ENGINE,,WEAR,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",,,,ENGINE,REMOVE & REPLACED &TORQUED,
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",Ok,"L/H ENGINE #2, 3 & 4",INTAKE,LEAKING,REPLACED ALL 3 GASKETS.,,,,GASKET,REPLACED,
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,Ok,L/H ENGINE #3,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,Ok,R/H ENGINE #2 & 4,ROCKER COVER,LEAKING,REPLACED #2 & 4 ROCKER COVERS.,,,,ROCKER COVER,REPLACED,
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,Ok,R/H ENGINE #3,INTAKE TUBES,LEAKING,REPLACED #3 & 4 INTAKE GASKETS.,,,,INTAKE GASKET,REPLACED,
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.",Ok,L/H AFT,BAFFLE,CRACKED,"REMOVED BRACE, STOP DRILLED CRACK. INSTALLED WITH LARGE A",,,,"BRACE,  DRILLED CRACK , LARGE A","REMOVED , STOP , INSTALLED",
100144,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,RETORQUED SCREWS.,,,,SCREW,RETORQUED,
100145,#2 ROCKER BOX COVER GASKET LEAKING.,Ok,#2,ROCKER BOX COVER GASKET,LEAKING,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100146,#4 ROCKER COVER GASKET LEAKING.,Ok,#4,ROCKER COVER GASKET,LEAKING,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100147,LEFT BRAKE LININGS ARE WORN OUT.,Ok,LEFT,BRAKE LININGS,WORN,REPLACED BRAKE LININGS.,,,,BRAKE LININGS,REPLACED,
100148,RIGHT ENGINE #3 ROCKER COVER IS LEAKING.,Ok,RIGHT ENGINE #3,ROCKER COVER,LEAKING,REMOVED & REPLACED #3 ROCKER COVER.,,,,ROCKER COVER,REMOVED & REPLACED,
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,Ok,ENGINE,,OVERSPEED,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,Ok,ENGINE,,OVERSPEED,BEGAN VALVE TRAIN OVERSPEED INSP.,,,,VALVE TRAIN OVERSPEED,INSPECTED,
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,Ok,ENGINE,,OVERSPEED,BEGAN ENGINE OVERSPEED INSP IAW . IDENTIFIED & CORR,,,,ENGINE OVERSPEED,INSPECTED,
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,Ok,ENGINE,,OVERSPEED,FINISHED VALVE TRAIN OVERSPEED INSP. WAS COMPLET,,,,VALVE TRAIN OVERSPEED,INSPECTED,
100153,#2 ROCKER COVER GASKET LEAKING.,Ok,#2,ROCKER COVER GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100154,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",,,,ENGINE,RAN,
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,Ok,#2,ROCKER BOX COVER SCREW,LOOSE,RETORQUED SCREWS.,,,,SCREW,RETORQUED,
100156,#3 BAFFLE BUTTON PLUG BAD.,Ok,#3,BAFFLE BUTTON,PLUG BAD,INSTALLED NEW BUTTON PLUG.,,,NEW,BUTTON PLUG,INSTALLED,
100157,R/H ENGINE ROUGH IN FLIGHT.,Ok,R/H ENGINE,,RUN ROUGH,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",,,,A/C,RAN,
100158,#1 & 3 ROCKER COVERS ARE LEAKING.,Ok,#1 & 3,ROCKER COVER,LEAKING,REMOVED & REPLACED 1 & 3 ROCKER COVERS.,,,,ROCKER COVER,REMOVED & REPLACED,
100159,R/H FORWARD BAFFLE SEAL LOOSE.,Ok,R/H FORWARD,BAFFLE SEAL,LOOSE,RESECURED BAFFLE SEAL.,,,,BAFFLE SEAL,RESECURED,
100160,"WHILE TAXIING, ENGINE QUIT.",Ok,ENGINE,,QUIT,FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,,,,INTAKE,REMOVED & REPLACED,FOUND #4 INTAKE WAS LEAKING
100161,"R/H ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",Ok,R/H ENGINE FORWARD,I/B BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100162,"BOTH ENGINES, ALL ROCKER COVERS LOOSE.",Ok,BOTH ENGINES,ROCKER COVER,LOOSE,TIGHTENED ALL SCREWS FOR ROCKER COVERS.,,,,SCREW,TIGHTENED,
100163,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,OPS & LEAK CHECKED GOOD.,,,,OPS & LEAK,CHECKED,
100164,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,OPS & LEAK CHECKED GOOD.,,,,OPS & LEAK,CHECKED,
100165,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,INSTALLED R/H ENGINE TO AIRFRAME.,,,,ENGINE,INSTALLED,
100166,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,FINISHED INSTALLING NACELLE WIRING.,,,,NACELLE WIRING,INSTALLED,
100167,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,FINISHED REINSTALL OF NACELLE WIRING.,,,,NACELLE WIRING,REINSTALL,
100168,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,CONTINUED WIRING & ENGINE CONTROL INSTALLATION.,,,,WIRING & ENGINE CONTROL,INSTALLED,
100169,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,PRESERVED  CYLINDER. PREPARED ENGINE FOR STORAGE.,,,,"CYLINDER , ENGINE","PRESERVED , PREPARED",
100170,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL.,,,,CONTROL CABLE & ELECTRICAL HARNESS,SEALED,
100171,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"INSTALLED & TIMED MAGNETOS. ROUTED, CONNECTED WIRING &",,,,"MAGNETOS,  WIRING","INSTALLED &  ROUTED, CONNECTED",
100172,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSEMBLY TO A,,,,"ENGINE , ASSEMBLY","UNPACKED , INSTALLED",
100173,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWAL",,,,WIRING & CABLES,RAN,
100174,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL",,,,WIRING & FUEL & OIL LINE & CONTROL CABLE,ROUTED & SECURED,
100175,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL. R,,,,CONTROL CABLE & ELECTRICAL HARNESS,SEALED,
100176,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA",,,,"PLUG, OIL, ENGINE","CLEANED , SERVICED , RAN",
100177,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"REMOVED LEFT ENGINE, PROP/MOUNT ASSEMBLY.",,,,ENGINE,REMOVED,
100178,L/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW,,,,"OIL SUMP , ACCESSORY CASE","REMOVED , INSPECTED",
100179,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO,,,,WIRING & CONTROL CABLE,INSTALLED,
100180,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,CONTINUED WIRING & CONTROL CABLE ROUTING. CONNECTED COW,,,,"WIRING & CONTROL CABLE , COW","ROUTED , CONNECTED",
100181,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO,,,,"WIRING , ENGINE","CONNECTED & SECURED,  ATTACHED & RIGGED",
100182,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,"CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION",,,,"PLUG, OIL, ENGINE","CLEANED, SERVICED, RAN",
100183,R/H ENGINE NEED TO BE REMOVED TO FACILITATE REPAIR.,DIFFICULT,,,,REMOVED R/H ENGINE/PROP/MOUNT ASSEMBLY. PRESERVED  CYLINDER. PAL,,,,"ENGINE/PROP/MOUNT ASSEMBLY , CLY","REMOVED , PRESERVED",
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,DIFFICULT,,,,REMOVED ENGINE.,,,,ENGINE,REMOVED,
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,DIFFICULT,,,,INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,,,,ENGINE,INSTALLED,
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,DIFFICULT,,,,FIREWALL REPAIRED BY ODEGAARD WINGS.,,,,FIREWALL,REPAIRED,
100187,#2 & 4 INTAKE GASKET LEAKING.,Ok,#2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100188,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100189,#3 ROCKER COVER LEAKING.,Ok,#3,ROCKER COVER,LEAKING,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100190,AFT BAFFLE SCREW LOOSE.,Ok,AFT,BAFFLE SCREW,LOOSE,TIGHTENED BAFFLE SCREW.,,,,BAFFLE SCREW,TIGHTENED,
100191,#4 REAR ENGINE BAFFLE CRACKED.,Ok,#4 REAR ENGINE,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100193,#3 CYLINDER EXHAUST SEAL LEAKING.,Ok,#3 CYLINDER,EXHAUST SEAL,LEAKING,REMOVED & REPLACED SEAL.,,,,SEAL,REMOVED & REPLACED,
100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.,Ok,#1 & 3,BAFFLE COMING,LOOSE,PREPPED AREA & APPLIED SEALANT.,,,,AREA,PREPPED & APPLIED SEALANT,
100195,ENGINE BAFFLE BUTTONS WORN.,Ok,ENGINE,BAFFLE BUTTONS,WORN,REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.,,,,ENGINE BAFFLE BUTTONS,REMOVED & REPLACED,
100196,MISSING SCREW ON #3 ROCKER COVER.,Ok,#3,ROCKER COVER SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
100197,#2 & 4 INTAKES ARE LEAKING.,Ok,#2 & 4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100198,#2 ROCKER COVER GASKET LEAKING.,Ok,#2,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,Ok,ENGINE,,RUN ROUGH,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA",,,,"A/C, ENGINE","STARTED, VERIFIED",
100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,Ok,ENGINE,,RUN ROUGH,PERFORMED SI 388C ON ALL 4  CYLINDER. REAMED EXHAUST VA,,,,"CYLINDER,  EXHAUST VA","PERFORMED SI 388C, REAMED",
100201,"LACING CORD LOOSE ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",Ok,R/H,SCAT TUBING LACING CORD,LOOSE,REPLACED BOTH LACINGS.,,,,LACINGS,REPLACED,
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,Ok,L/H ENGINE ALL,ROCKER COVER SCREW,LOOSE,TIGHTENED ALL SCREWS.,,,,SCREW,TIGHTENED,
100203,#2 INTAKE LEAKING ON R/H ENGINE.,Ok,#2 R/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET ON R/H ENGINE.,,,,INTAKE GASKET,REMOVED & REPLACED,
100204,"INTAKES 2, # & 4 LEAKING ON L/H ENGINE.",Ok,"2, # & 4  L/H ENGINE",INTAKE,LEAKING,"REMOVED & REPLACED INTAKE GASKET 2, 3 & 4 ON L/H ENGINE",,,,INTAKE GASKET,REMOVED & REPLACED,
100205,ROCKER COVERS 2 & 4 LEAKING ON R/H ENGINE.,Ok,2 & 4 R/H ENGINE,ROCKER COVER,LEAKING,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS ON R/H E,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100206,"ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH.",Ok,RIGHT ENGINE,,RUN ROUGH,"REMOVED & REPLACED #3 CYLINDER ASSEMBLY. REEMED 1, 2, 4 EXHAUST",,,,"CYLINDER ASSEMBLY, EXHAUST","REMOVED & REPLACED , REEMED",
100207,"ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH.",Ok,RIGHT ENGINE,,RUN ROUGH,"RAN ENGINE, #3 CYLINDER NO EGT. PULLED PROP THROUGH 4 COMPRE",,,,"ENGINE,  PROP",RAN &PULLED,
100208,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100209,CYLINDER #2 INTAKE GASKET IS LEAKING.,Ok,CYLINDER #2,INTAKE GASKET,LEAKING,REMOVED & REPLACED CYLINDER #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100210,CYLINDER #2 & 3 ROCKER COVERS LEAKING.,Ok,CYLINDER #2 & 3,ROCKER COVER,LEAKING,REMOVED & REPLACED CYLINDER #2 & 3 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100211,CYLINDER #3 AFT BAFFLE I/B SCREW BRACKET RIVETS ARE SHEARED OFF.,Ok,CYLINDER #3 AFT,BAFFLE I/B SCREW BRACKET RIVET,SHEARED,"REMOVED CYLINDER #3 AFT BAFFLE, REPLACED BROKEN FASTENERS &",,,,"BAFFLE,  BROKEN FASTENER",REMOVED & REPLACED,
100212,#3 ROCKER COVER LEAKING.,Ok,#3,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER WITH NEW.,,WITH NEW,,ROCKER COVER,REMOVED & REPLACED,
100213,#2 & 4 ROCKER COVER GASKETS LEAKING.,Ok,#2 & 4,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100214,R/H ENGINE #2 INTAKE IS LEAKING.,Ok,R/H ENGINE #2,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100215,L/H ENGINE #4 ROCKER COVER GASKET LEAKING.,Ok,L/H ENGINE #4,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100216,"R/H ENGINE, ALL 4 ROCKER COVER GASKETS SEEPING.",Ok,"R/H ENGINE, ALL 4 ",ROCKER COVER GASKET,SEEPING,REMOVED & REPLACED ALL GASKETS.,,,,GASKET,REMOVED & REPLACED,
100217,R/H REAR ENGINE BAFFLE SCREW MISSING.,Ok,R/H REAR ENGINE,BAFFLE SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
100218,ROCKER BOX COVER SCREWS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,ROCKER BOX COVER SCREW,LOOSE,RETORQUED SCREWS.,,,,SCREW,RETORQUED,
100219,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100220,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100221,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100222,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,Ok,ALL CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100223,#2 & 4 ROCKER BOX COVER SCREWS LOOSE.,Ok,#2 & 4,ROCKER BOX COVER SCREW,LOOSE,RETORQUED #2 & 4 ROCKER BOX COVER SCREWS.,,,,SCREW,RETORQUED,
100224,L/H ENGINE #1 INTAKE LEAKING.,Ok,L/H ENGINE #1,INTAKE,LEAKING,REMOVED & REPLACED L/H #1 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100225,R/H ENGINE #2 & 1 INTAKE LEAKING.,Ok,R/H ENGINE #2 & 1,INTAKE,LEAKING,REMOVED & REPLACED R/H ENGINE INTAKE GASKETS 1 & 2.,,,,INTAKE GASKET,REMOVED & REPLACED,
100226,R/H FORWARD UPPER BAFFLE SEAL IS LOOSE.,Ok,R/H FORWARD UPPER,BAFFLE SEAL,LOOSE,REPLACED BAFFLE SEAL.,,,,BAFFLE SEAL,REPLACED,
100227,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100228,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,RETORQUE ROCKER BOX COVER SCREWS.,,,,SCREW,RETORQUE,
100229,#4 ROCKER GASKET LEAKING.,Ok,#4,ROCKER GASKET,LEAKING,REPLACED ROCKER GASKET.,,,,ROCKER GASKET,REPLACED,
100230,#2 ROCKER COVER IS LEAKING.,Ok,#2,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100231,#4 CYLINDER HAS NO COMPRESSION.,Ok,#4 CYLINDER,,COMPRESSION PROBLEM,"INSTALLED NEW GASKET, LEAK CHECK GOOD.",,,NEW,"GASKET, LEAK","INSTALLED , CHECKED",
100232,#4 CYLINDER HAS NO COMPRESSION.,Ok,#4 CYLINDER,,COMPRESSION PROBLEM,"INSPECTED VALVES, FOUND NO DEFECTS. RAN A/C & RECHECKED",,,,"VALVE , A/C",INSPECTED & RAN & RECHECKED,
100233,SCREW MISSING ON #3 BAFFLE.,Ok,#3,BAFFLE SCREW,MISSING,REPLACED SCREW.,,,,SCREW,REPLACED,
100234,#2 ROCKER COVER IS LEAKING.,Ok,#2,ROCKER COVER,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100235,INDUCTION TUBE HOSE CLAMPS LOOSE.,Ok,,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100236,R/H ENGINE CYLINDER #3 INTAKE IS LEAKING.,Ok,R/H ENGINE CYLINDER #3,INTAKE,LEAKING,REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100237,L/H ENGINE #4 INDUCTION TUBE GASKET LEAKING.,Ok,L/H ENGINE #4,INDUCTION TUBE GASKET,LEAKING,REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100238,L/H ENGINE CYLINDER #1 FORWARD BAFFLE SEAL IS LOOSE.,Ok,L/H ENGINE CYLINDER #1,BAFFLE SEAL,LOOSE,RESECURED #1 FORWARD BAFFLE SEAL.,,,,BAFFLE SEAL,RESECURED,
100239,"L/H ENGINE #1, 2 & 3 ROCKER BOX COVERS LEAKING.",Ok,"L/H ENGINE #1, 2 & 3",ROCKER BOX COVERS,LEAKING,REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REPLACED,
100240,R/H ENGINE #2 INTAKE TUBE GASKET IS LEAKING.,Ok,R/H ENGINE #2,INTAKE TUBE GASKET,LEAKING,INSTALLED NEW #2 INTAKE TUBE GASKET.,,,NEW,INTAKE TUBE GASKATE,INSTALLED,
100241,R/H ENGINE ALL ROCKER COVER GASKETS LEAKING.,Ok,R/H ENGINE ALL,ROCKER COVER GASKET,LEAKING,INSTALLED NEW R/H ENGINE ROCKER BOX COVER GASKETS.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100242,AFT BAFFLE BRACKET RIVETS SHEARED.,Ok,AFT,BAFFLE BRACKET RIVET,SHEARED,RESECURED BAFFLE BRACKET.,,,,BAFFLE BRACKET,RESECURED,
100243,#3 AFT BAFFLE IS WORN THROUGH AT I/B CYLINDER WRAP.,Ok,#3 AFT,BAFFLE,WORN,REMOVED WORN PIECE. FABRICATED REPLACEMENT FROM LIKE MA,,,,"WORN PIECE, LIKE MA",REMOVED & FABRICATED,
100244,FRONT R/H BAFFLE SIDE HAS A CRACK BY SCREW.,Ok,FRONT R/H,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100245,FRONT R/H BAFFLE WORN THROUGH FROM MUFFLER SHROUD.,Ok,FRONT R/H,BAFFLE,WORN,REMOVED BAFFLE.,,,,BAFFLE,REMOVED,
100246,FRONT R/H BAFFLE WORN THROUGH FROM MUFFLER SHROUD.,Ok,FRONT R/H,BAFFLE,WORN,FABRICATED PATCH WITH LIKE MATERIALS. RIVETED IAW,,WITH LIKE MATERIALS,,"PATCH ,  IAW","FABRICATED , RIVETED",
100247,"#2, 3 & 4 ROCKER GASKETS LEAKING.",Ok,"#2, 3 & 4",ROCKER GASKET,LEAKING,"REPLACED #2, 3 & 4 ROCKER GASKETS. LEAK CHECK GOOD.",,,,"ROCKER GASKET, LEAK",REPLACED &CHECKED,
100248,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.,Ok,#3 AFT,BAFFLE,CRACKED,INSTALLED NEW BAFFLE.,,,NEW,BAFFLE,INSTALLED,
100249,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.,Ok,#3 AFT,BAFFLE,CRACKED,REMOVED R/H REAR BAFFLE.,,,,BAFFLE,REMOVED,
100250,SCREW MISSING IN #4 ROCKER COVER.,Ok,#4,ROCKER COVER SCREW,MISSING,INSTALLED & TORQUED NEW SCREW IN #4 ROCKER BOX COVER. R,,,NEW,ROCKER BOX COVER SCREW,INSTALLED & TORQUED,
